PostCodes,pc1_norm
DE79 - DE97,0.9247211897680553
NO95 - DK78,0.9238774688650776
DE55 - GR57,0.9236579569251967
LT89 - RO10,0.923616460627251
NL46 - RO07,0.9236128251256899
DE23 - ES45,0.9233293278889987
DE - GR,0.9232081755046425
GR10 - FR84,0.9230871413044858
PL10 - GR18,0.9223843128748639
NO90 - DE18,0.9221900080017759
IE - IT,0.9217276546237918
GR19 - DE04,0.9215878090145813
IT36 - NO06,0.9209914762022361
MK - LV,0.9204616837604644
DE49 - GR14,0.920016911646434
FR19 - RO45,0.9197617323990547
NO90 - PL72,0.9196058196951389
DE79 - FI33,0.9191455879252465
DE17 - GR57,0.9185513707646502
NO60 - GBHU,0.9183547183390931
DE19 - GR19,0.9181429051993019
IT51 - GBSY,0.9179991501324226
IT35 - NO06,0.917919983769954
IT47 - FI13,0.917146834824158
BE80 - EE75,0.9169925243671558
IT51 - GBNE,0.916781811020337
NO60 - IT20,0.9165245190429377
NO87 - PL76,0.9164812930828351
BG - SE,0.9164068044788614
EE93 - BG93,0.916068596500287
IT31 - LVLV,0.9156184528482698
DE86 - GR14,0.9152954025686297
NO72 - FR14,0.9152187137515854
BE23 - FI13,0.9145035168907062
NO84 - PL76,0.9144265993754263
ES31 - DK62,0.9143194251956863
NL79 - NL83,0.9142581240373653
LV - MK,0.914071531667727
IT48 - NO15,0.9138106533274793
IT35 - DE47,0.9134863287234614
FR16 - NO06,0.9134000882032518
BG42 - NL23,0.9132679873555508
NO88 - NL44,0.9129370170533269
IT00 - SE35,0.9125793182918395
BE - BG,0.9124853206006166
NO72 - IT20,0.9121957405781154
FR27 - EE11,0.912184006579649
ES41 - DE48,0.9112825106745491
FR22 - LT01,0.9112669574467293
IT - FI,0.9111140986244735
IT20 - FI22,0.9110223488986146
HU43 - GBPE,0.9108655947599223
IT46 - FI01,0.9105659635362665
IT20 - GBPA,0.910531670928889
BE22 - EE44,0.9104654248180272
FR76 - RO07,0.9102787083918811
IT37 - FI01,0.9101412004507322
NO20 - ES31,0.9100704366322027
EE48 - IT31,0.9100373214121676
IT43 - NO13,0.9098809936548562
BE08 - EE75,0.9098115119090632
ES94 - IE.,0.9093993351324543
NO20 - ES20,0.9093615315311605
IT00 - GBWA,0.9089634221603858
IT56 - LV10,0.9079106206723119
IT20 - LV21,0.9075948557758362
IT27 - PT27,0.9073309020320601
NL29 - EE75,0.9073104819848686
ES26 - HU23,0.9072659275001445
LV42 - BG53,0.9070518743544006
FR62 - GR57,0.9060444442095639
FR27 - FI16,0.905919487281357
GR58 - NL70,0.9058884282774754
LV - BG,0.905481004425764
IT23 - LV57,0.9054405630323101
IT39 - FI01,0.9053405266161481
IT39 - FI13,0.905299354729932
IT81 - SE25,0.9052039420892095
LV42 - BG70,0.9050231654611588
LU53 - FI27,0.904456689018442
DK26 - NO90,0.9043921766075678
FR31 - DK26,0.9043630719145097
NL79 - GR48,0.9040808965571813
ES04 - DE22,0.9036978176263863
BE99 - EE50,0.9032640962772295
TR34 - CH85,0.9031812519236555
IT53 - NO14,0.9028793632479487
FR86 - LT51,0.9027297017594471
DE52 - GR25,0.9027150392911831
NL96 - GR57,0.9024861400472635
FR27 - BG11,0.9024123456079259
DE20 - ES30,0.9022335891415441
SE50 - FR13,0.9020363526900173
DK83 - FR80,0.9020238109027466
NO60 - FR91,0.9019992195224553
NL42 - RO07,0.9012878267228341
GR62 - NL50,0.9011866028987298
PT26 - CH17,0.9007295203812741
LV10 - BG13,0.9001925472167347
IT12 - NO06,0.8996691404851266
DK70 - NO08,0.8996139468969659
NO95 - DK69,0.8993797391601676
ES46 - SE25,0.8993072803499951
NO69 - IT28,0.8991236142594456
IT51 - GBPR,0.8991222862885901
IT35 - NO17,0.8989789362600547
GR63 - FR94,0.8988436897849559
BE89 - GR57,0.8986963433158485
LV42 - BG21,0.8986595720933125
NO08 - NL38,0.8981433305915208
FR71 - NOq,0.8979237054469484
BG22 - SE26,0.8978027793944939
BG72 - BE17,0.8976217339914851
NO18 - NO90,0.8976094670239907
NO06 - GBML,0.8974244717035975
NO20 - IT40,0.8974054472178533
IT50 - GBWA,0.897200515741394
