Route,eff
CH-LU,1.5356543278883172
CH-IT,1.5357026460555347
DE-NL,1.535842768736698
BE-CH,1.5364614607014957
SE-LU,1.5387041420547685
LU-PL,1.5393025735139771
EE-BE,1.539447599665155
AT-NL,1.5409325756349488
PL-DE,1.5420638974050334
AT-AT,1.542359056147835
FR-IT,1.5426897129347372
NL-LU,1.546547890804647
LT-FR,1.5474861445425419
EE-DE,1.550771806675265
FI-LU,1.5511383649183759
ES-FR,1.5596246609472444
NO-SE,1.5637253460033664
CH-SI,1.5640283769707797
PL-FR,1.5669796235205797
CZ-HU,1.567366672459962
LU-IT,1.5719617398571384
ES-NL,1.5721614062995042
LV-LU,1.5736683881275255
GR-IT,1.574369754099242
BE-ES,1.5748988917192341
NL-ES,1.575498306871402
LU-DK,1.577232341101847
SE-PL,1.5811797659080948
BE-CZ,1.586052226937458
DK-NO,1.5868951501906963
LV-EE,1.5889141966459965
HU-BE,1.590392890977538
NL-CZ,1.5910191440637254
SE-AX,1.59175569327593
BE-AT,1.5919240142594928
FI-LV,1.5963153006643254
EE-NL,1.6000269154619609
CH-BE,1.6000944896764764
LT-NL,1.601461269045923
DK-SE,1.6027413770611183
CZ-BE,1.6049774953613425
IT-PL,1.611571759259268
SK-PL,1.6121286880415928
NO-DK,1.6125474126629666
CH-CZ,1.6141114449322116
PL-SK,1.6147904131811066
LV-SK,1.6152258871279512
GB-LU,1.615297277795294
SE-BE,1.6179731240861202
LV-HU,1.6182707051633431
DE-CZ,1.6194479099918815
LV-CZ,1.625952833245422
SE-DK,1.6352899621528394
CH-NL,1.635508466163913
LU-FR,1.640006383110461
FR-DE,1.6400932399110768
PL-BE,1.640910066663383
LV-DE,1.6430446156422693
DE-LT,1.643126562128046
LU-CH,1.6436407069369259
LV-BE,1.6552552816610457
DE-BE,1.6746467710813095
DK-LV,1.6780736527271327
CH-AT,1.6846464791467584
IT-SI,1.685617921051778
LV-NL,1.6965857392652317
LU-BE,1.697477641395642
DE-PL,1.7012019776713303
FR-CZ,1.7014383889686269
AT-PL,1.7261926110694723
SK-NL,1.7326404539239177
LT-DE,1.7329096625138574
LU-FI,1.7431684583640799
PL-LT,1.7488138812137262
GB-BE,1.750676185112383
FR-ES,1.754678603803753
DK-BE,1.7555063521048544
GB-NL,1.774648407144802
LT-BE,1.7778285365449598
FR-PL,1.7807538147006727
EE-LT,1.7820910382557313
DK-FI,1.7831117084960728
CZ-NL,1.8030030769259242
EE-PL,1.8083353275700271
LT-EE,1.8096093785991283
IT-CZ,1.812694636827274
SE-LV,1.8157233833621265
SE-DE,1.830541371539315
DK-NL,1.8319614834070395
PL-NL,1.8336540886464954
DE-SK,1.8450914940551157
SE-FI,1.8527117510786688
SE-EE,1.8692770233986362
SK-FR,1.8912701404036052
LV-PL,1.892059513247551
SK-DE,1.9499033302661444
SE-LT,1.9519771573874043
FI-SE,1.954971341114275
FI-DE,1.9634929376138397
LT-PL,1.9655724600018065
NL-PL,1.9728691237328977
NL-LI,2.0123786997895206
LT-LV,2.056451243709429
LV-LT,2.097096057789798
EE-LV,2.2129411600078286
AX-FI,3.53535744879533
