Route,pc1_norm
DK-CH,0.7083198762047553
GR-RO,0.7046332293151454
CH-HR,0.7037743212401816
PL-ES,0.7032862250828105
RO-GR,0.7032264340872565
PL-NO,0.7029852363293316
LT-LU,0.702049365569019
FI-DE,0.6997505681501931
LV-SI,0.6986807399960406
LV-DK,0.6961510853446339
BE-NO,0.6950920865721438
AT-SE,0.6939774875152848
DE-NO,0.693559322192978
NL-LT,0.6922324990012175
HU-GR,0.6921156351409621
LV-DE,0.6916901585312137
DK-IT,0.6905971315946497
PL-IT,0.6893940850250371
HU-LU,0.6892078470538723
SK-SE,0.6889885594854478
LU-PL,0.6867879516093657
CZ-NO,0.6858355937405249
ES-SI,0.6856749047956241
SE-PL,0.6846713176103458
LT-NL,0.6828307426684908
CH-GB,0.6827293029719317
LT-AT,0.6762541639857504
LT-DK,0.6760807340673316
SI-FR,0.6760196062910621
BG-HR,0.6755895037420317
NL-SI,0.6732290062143773
FI-FR,0.6708204008082237
DE-LT,0.670786472157931
LT-DE,0.6693359262727043
CH-TR,0.6690167297625867
NL-ES,0.6689599662664836
LU-HU,0.6689199156235002
LU-SK,0.667632500516401
FR-DK,0.6670197979535704
DK-FR,0.6663981816178332
BE-SK,0.6635914630529576
FR-AT,0.6633140174187135
PL-FI,0.6632841337707124
ES-NL,0.6628119888305385
HU-CH,0.6612842170035405
NL-IE,0.6607983311399389
LU-CZ,0.6597651616649685
GB-CH,0.6582970460350818
IE-FR,0.65788046981662
EE-CZ,0.6573117317122434
DK-LV,0.6571425578271428
NO-DE,0.6569503093014929
FI-DK,0.6566630314289735
CH-PL,0.6561543335604667
NL-SK,0.6540549317695354
HU-NL,0.652845390720065
HR-BE,0.6522460272910823
ES-CH,0.6504877876462506
HU-BG,0.6486134107066595
SK-FR,0.6481248489674172
DK-AT,0.6476620104805234
PL-EE,0.6467612103183998
CH-HU,0.6453674953993838
IT-NL,0.6433135818844914
LU-DK,0.6413797217232702
HU-BE,0.6398377671651008
DK-GB,0.6389643685163532
CH-SK,0.6361501019775272
CZ-SE,0.6353354033273897
DK-FI,0.632536385068235
CZ-CH,0.6308173088092951
CZ-FR,0.6306953582686649
LU-AT,0.6297617029223975
CH-SI,0.6296125012021881
HU-LV,0.6289189552321706
BE-ES,0.6287828881941927
LV-SK,0.6273625475259912
LV-HU,0.627115189396707
CZ-LV,0.6270063460751397
PL-SE,0.6265607507866057
NL-IT,0.6262268170728549
BE-IT,0.6238444160779499
PL-FR,0.6232374023248574
NL-AT,0.6229657074563035
CH-DK,0.622388654963535
ES-DE,0.6212883060708114
GB-IT,0.6205363454274296
NL-MC,0.6194842009698491
SE-FR,0.6192066104800887
BE-SE,0.6188806072012754
AT-LV,0.6187869681638885
LU-IT,0.6181365954366426
CZ-BE,0.6144018430671034
CH-AT,0.6138167726345427
PL-BE,0.612198211153424
AT-FR,0.6115388857957644
BE-AT,0.6109976752501421
LV-CZ,0.6099168511198583
IT-BE,0.6094423946685382
SE-EE,0.605932243809802
CH-CZ,0.6000396326514501
LV-SE,0.5945376441742035
DK-LU,0.5944930357339078
IT-PL,0.5907708359277061
LT-SE,0.588268684455548
AT-NL,0.5863337402672688
SI-DE,0.5855220792997156
PL-LU,0.5839507838244835
SK-NL,0.5822589434652469
DK-PL,0.5817085912407858
FR-IE,0.580730494242453
AT-RO,0.5794459212861622
AT-DK,0.5747599540332364
PL-NL,0.5713384832707585
LU-GB,0.5705278424834809
DE-HR,0.5704984689914653
FR-PL,0.5704796157987936
CZ-DK,0.5673463920462901
SK-IT,0.5642929418934315
BG-HU,0.5640693906076708
TR-DE,0.5618130136811759
BE-DK,0.5596782108329449
IT-LU,0.5559779362872714
BE-CZ,0.5521968204796719
CH-NL,0.5506268856687284
AT-LU,0.5500296399365161
IT-SK,0.5492154179832709
EE-PL,0.547589704309469
GB-LU,0.5466840650772793
ES-IT,0.5451802231354986
NL-CH,0.5434654314336177
IT-FR,0.5415850528700485
SE-LU,0.5398069912571606
BE-PL,0.5391871082055061
FR-CZ,0.5345182304937737
EE-SE,0.5336241167006615
AT-CH,0.5330654185827453
SE-LV,0.5317440984725236
NO-DK,0.5316681451853076
DK-NO,0.5312342185887174
NL-SE,0.5302568336447335
CH-BE,0.5299960331747132
NO-AX,0.5291980032514623
AT-BE,0.5279098696837302
IT-DE,0.5250362618508021
IT-ES,0.5232693531012992
DE-IT,0.5217883661694772
LV-PL,0.5188065404168054
DE-SE,0.5178418651494381
EE-EE,0.5155358641449127
DE-GB,0.5143632219769566
BG-GR,0.5133171482157372
CZ-IT,0.511929399123882
NL-LI,0.5103356678843168
SE-FI,0.5079072330719329
SE-BE,0.5067508994580291
NO-FI,0.5052420100679954
IT-CZ,0.5052407628264461
FR-GB,0.5018576135953515
BE-CH,0.5016239132554884
FR-CH,0.5007912727147656
DK-BE,0.5004066820723723
DE-HU,0.49861224147958283
IT-HU,0.4969778783953106
CH-FR,0.4898401258158825
SE-LT,0.4882641512320837
SE-DE,0.487825882270953
AT-IT,0.4871986608922885
HU-IT,0.48701732945361625
LU-CH,0.4838859279870456
